Restart 0
Lap #: 1
Sort Lap: 3
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
11,22,,1.0,2.0,,2.0,1.0,,-1.0,1.0
54,48,,3.0,4.0,,3.0,4.0,,0.0,0.0
8,24,,5.0,6.0,,6.0,5.0,,-1.0,1.0
1,5,,7.0,8.0,,9.0,7.0,,-2.0,1.0
23,51,,9.0,10.0,,11.0,8.0,,-2.0,2.0
45,41,,11.0,12.0,,12.0,10.0,,-1.0,2.0
6,9,,13.0,14.0,,18.0,13.0,,-5.0,1.0
34,38,,15.0,16.0,,14.0,17.0,,1.0,-1.0
10,7,,17.0,18.0,,20.0,15.0,,-3.0,3.0
19,14,,19.0,22.0,,16.0,19.0,,3.0,3.0
47,12,,20.0,23.0,,21.0,22.0,,-1.0,1.0
42,,,21.0,,,23.0,,,-2.0,

Restart 1
Lap #: 79
Sort Lap: 81
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
5,54,,2.0,3.0,,3.0,1.0,,-1.0,2.0
19,22,,9.0,1.0,,4.0,2.0,,5.0,-1.0
8,11,,4.0,5.0,,5.0,6.0,,-1.0,-1.0
41,24,,10.0,6.0,,7.0,8.0,,3.0,-2.0
51,12,,12.0,11.0,,9.0,11.0,,3.0,0.0
48,14,,8.0,14.0,,10.0,12.0,,-2.0,2.0
6,23,,13.0,19.0,,13.0,14.0,,0.0,5.0
47,1,,15.0,16.0,,15.0,16.0,,0.0,0.0
34,45,,17.0,7.0,,17.0,19.0,,0.0,-12.0
7,10,,18.0,22.0,,18.0,22.0,,0.0,0.0
42,,,21.0,,,20.0,,,1.0,

Restart 2
Lap #: 142
Sort Lap: 144
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
8,11,,4.0,3.0,,3.0,1.0,,1.0,2.0
5,54,,7.0,1.0,,5.0,2.0,,2.0,-1.0
22,12,,2.0,5.0,,6.0,4.0,,-4.0,1.0
23,24,,6.0,8.0,,7.0,9.0,,-1.0,-1.0
19,14,,10.0,9.0,,8.0,11.0,,2.0,-2.0
48,6,,11.0,12.0,,10.0,12.0,,1.0,0.0
1,41,,13.0,14.0,,14.0,13.0,,-1.0,1.0
45,47,,16.0,15.0,,15.0,16.0,,1.0,-1.0
42,7,,17.0,18.0,,17.0,18.0,,0.0,0.0
,10,,,20.0,,,20.0,,,0.0

