Restart 0,,,,,,,,,,
Lap #: 1,,,,,,,,,,
Sort Lap: 3,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
54,19,,2,1,,3,1,,-1,0
,,,,,,,,,,
14,11,,3,4,,4,2,,-1,2
,,,,,,,,,,
5,23,,5,6,,6,5,,-1,1
,,,,,,,,,,
20,4,,7,8,,7,8,,0,0
,,,,,,,,,,
41,6,,9,10,,10,9,,-1,1
,,,,,,,,,,
12,10,,11,12,,11,13,,0,-1
,,,,,,,,,,
1,9,,13,14,,15,12,,-2,2
,,,,,,,,,,
22,24,,15,16,,16,14,,-1,2
,,,,,,,,,,
38,17,,17,18,,18,17,,-1,1
,,,,,,,,,,
45,47,,19,20,,19,22,,0,-2
,,,,,,,,,,
2,48,,21,22,,20,23,,1,-1
,,,,,,,,,,
34,31,,23,24,,21,25,,2,-1
,,,,,,,,,,
16,3,,25,26,,27,24,,-2,2
,,,,,,,,,,
99,21,,27,28,,29,26,,-2,2
,,,,,,,,,,
43,7,,29,30,,30,28,,-1,2
,,,,,,,,,,
8,42,,31,32,,31,32,,0,0
,,,,,,,,,,
51,77,,33,34,,34,33,,-1,1
,,,,,,,,,,
15,78,,35,36,,36,35,,-1,1
,,,,,,,,,,
,,,,,,,,,,
Restart 1,,,,,,,,,,
Lap #: 112,,,,,,,,,,
Sort Lap: 114,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
19,11,,1,2,,3,1,,-2,1
,,,,,,,,,,
14,12,,3,4,,5,2,,-2,2
,,,,,,,,,,
20,6,,5,6,,6,4,,-1,2
,,,,,,,,,,
4,54,,7,8,,9,7,,-2,1
,,,,,,,,,,
5,41,,9,10,,11,8,,-2,2
,,,,,,,,,,
9,22,,11,12,,12,10,,-1,2
,,,,,,,,,,
23,17,,13,14,,14,13,,-1,1
,,,,,,,,,,
10,24,,15,16,,16,15,,-1,1
,,,,,,,,,,
1,45,,18,17,,18,17,,0,0
,,,,,,,,,,
38,3,,20,19,,20,19,,0,0
,,,,,,,,,,
34,99,,22,21,,22,21,,0,0
,,,,,,,,,,
2,77,,23,24,,23,24,,0,0
,,,,,,,,,,
8,43,,25,26,,26,25,,-1,1
,,,,,,,,,,
16,31,,27,28,,28,27,,-1,1
,,,,,,,,,,
42,51,,29,30,,30,29,,-1,1
,,,,,,,,,,
7,78,,31,34,,31,34,,0,0
,,,,,,,,,,
,,,,,,,,,,
Restart 2,,,,,,,,,,
Lap #: 141,,,,,,,,,,
Sort Lap: 143,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
11,12,,1,2,,1,2,,0,0
,,,,,,,,,,
19,14,,3,4,,3,4,,0,0
,,,,,,,,,,
20,54,,5,6,,6,5,,-1,1
,,,,,,,,,,
41,22,,7,8,,8,7,,-1,1
,,,,,,,,,,
9,4,,10,9,,9,10,,1,-1
,,,,,,,,,,
10,38,,11,12,,11,12,,0,0
,,,,,,,,,,
2,6,,13,14,,13,14,,0,0
,,,,,,,,,,
23,5,,16,15,,15,16,,1,-1
,,,,,,,,,,
24,1,,17,18,,17,19,,0,-1
,,,,,,,,,,
17,45,,19,20,,18,20,,1,0
,,,,,,,,,,
99,3,,21,22,,21,22,,0,0
,,,,,,,,,,
34,47,,23,24,,23,24,,0,0
,,,,,,,,,,
77,43,,25,26,,25,26,,0,0
,,,,,,,,,,
7,16,,27,28,,27,28,,0,0
,,,,,,,,,,
51,31,,29,30,,29,30,,0,0
,,,,,,,,,,
42,15,,34,31,,33,31,,1,0
,,,,,,,,,,
78,21,,36,33,,35,32,,1,1
,,,,,,,,,,
,48,,,35,,,34,,,1
,,,,,,,,,,
,8,,,32,,,36,,,-4
,,,,,,,,,,
,,,,,,,,,,
Restart 3,,,,,,,,,,
Lap #: 226,,,,,,,,,,
Sort Lap: 228,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
11,12,,1,2,,1,2,,0,0
,,,,,,,,,,
14,38,,3,4,,3,4,,0,0
,,,,,,,,,,
22,6,,5,8,,5,6,,0,2
,,,,,,,,,,
54,41,,6,9,,7,8,,-1,1
,,,,,,,,,,
4,34,,7,11,,9,10,,-2,1
,,,,,,,,,,
10,20,,10,12,,13,11,,-3,1
,,,,,,,,,,
9,99,,13,15,,15,12,,-2,3
,,,,,,,,,,
2,17,,14,16,,16,14,,-2,2
,,,,,,,,,,
5,1,,17,18,,19,17,,-2,1
,,,,,,,,,,
7,43,,19,20,,20,18,,-1,2
,,,,,,,,,,
24,47,,21,24,,21,24,,0,0
,,,,,,,,,,
45,31,,22,25,,22,28,,0,-3
,,,,,,,,,,
77,3,,23,28,,23,29,,0,-1
,,,,,,,,,,
15,16,,26,30,,26,30,,0,0
,,,,,,,,,,
19,21,,27,32,,25,31,,2,1
,,,,,,,,,,
23,8,,29,33,,27,32,,2,1
,,,,,,,,,,
48,51,,35,31,,34,33,,1,-2
,,,,,,,,,,
,42,,,34,,,35,,,-1
,,,,,,,,,,
,,,,,,,,,,
Restart 4,,,,,,,,,,
Lap #: 271,,,,,,,,,,
Sort Lap: 273,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
12,11,,1,2,,1,2,,0,0
,,,,,,,,,,
22,54,,3,4,,4,3,,-1,1
,,,,,,,,,,
2,5,,5,6,,5,7,,0,-1
,,,,,,,,,,
45,23,,7,8,,8,6,,-1,2
,,,,,,,,,,
10,41,,10,9,,9,11,,1,-2
,,,,,,,,,,
20,4,,11,12,,10,12,,1,0
,,,,,,,,,,
14,6,,13,14,,13,14,,0,0
,,,,,,,,,,
34,99,,15,16,,16,15,,-1,1
,,,,,,,,,,
38,17,,17,18,,18,17,,-1,1
,,,,,,,,,,
1,9,,19,20,,20,19,,-1,1
,,,,,,,,,,
7,24,,21,22,,22,21,,-1,1
,,,,,,,,,,
43,3,,23,24,,23,24,,0,0
,,,,,,,,,,
19,77,,25,26,,25,26,,0,0
,,,,,,,,,,
15,47,,30,27,,30,27,,0,0
,,,,,,,,,,
31,16,,32,28,,32,28,,0,0
,,,,,,,,,,
48,21,,34,29,,34,29,,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 5,,,,,,,,,,
Lap #: 285,,,,,,,,,,
Sort Lap: 287,,,,,,,,,,
