Restart 0,,,,,,,,,,
Lap #: 1,,,,,,,,,,
Sort Lap: 3,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
54,19,,2,1,,3,1,,-1,0
,,,,,,,,,,
14,11,,3,4,,4,2,,-1,2
,,,,,,,,,,
5,23,,5,6,,6,5,,-1,1
,,,,,,,,,,
20,4,,7,8,,7,8,,0,0
,,,,,,,,,,
41,6,,9,10,,10,9,,-1,1
,,,,,,,,,,
12,10,,11,12,,11,13,,0,-1
,,,,,,,,,,
1,9,,13,14,,15,12,,-2,2
,,,,,,,,,,
22,24,,15,16,,16,14,,-1,2
,,,,,,,,,,
38,17,,17,18,,18,17,,-1,1
,,,,,,,,,,
45,47,,19,20,,19,22,,0,-2
,,,,,,,,,,
2,48,,21,22,,20,23,,1,-1
,,,,,,,,,,
34,31,,23,24,,21,25,,2,-1
,,,,,,,,,,
16,3,,25,26,,27,24,,-2,2
,,,,,,,,,,
99,21,,27,28,,29,26,,-2,2
,,,,,,,,,,
43,7,,29,30,,30,28,,-1,2
,,,,,,,,,,
8,42,,31,32,,31,32,,0,0
,,,,,,,,,,
51,77,,33,34,,34,33,,-1,1
,,,,,,,,,,
15,78,,35,36,,36,35,,-1,1
,,,,,,,,,,
,,,,,,,,,,
Restart 1,,,,,,,,,,
Lap #: 112,,,,,,,,,,
Sort Lap: 114,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
19,11,,1,2,,3,1,,-2,1
,,,,,,,,,,
14,12,,3,4,,4,2,,-1,2
,,,,,,,,,,
20,6,,5,6,,6,5,,-1,1
,,,,,,,,,,
4,54,,7,8,,10,7,,-3,1
,,,,,,,,,,
5,41,,9,10,,11,8,,-2,2
,,,,,,,,,,
9,22,,11,12,,13,9,,-2,3
,,,,,,,,,,
23,17,,13,14,,14,17,,-1,-3
,,,,,,,,,,
10,24,,15,16,,15,12,,0,4
,,,,,,,,,,
1,45,,18,17,,16,18,,2,-1
,,,,,,,,,,
38,3,,20,19,,19,21,,1,-2
,,,,,,,,,,
34,99,,22,21,,22,20,,0,1
,,,,,,,,,,
2,77,,23,24,,23,24,,0,0
,,,,,,,,,,
8,43,,25,26,,27,25,,-2,1
,,,,,,,,,,
16,31,,27,28,,29,28,,-2,0
,,,,,,,,,,
42,51,,29,30,,33,30,,-4,0
,,,,,,,,,,
7,78,,31,34,,31,34,,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 2,,,,,,,,,,
Lap #: 141,,,,,,,,,,
Sort Lap: 143,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
11,12,,1,2,,1,2,,0,0
,,,,,,,,,,
19,14,,3,4,,3,5,,0,-1
,,,,,,,,,,
20,54,,5,6,,6,4,,-1,2
,,,,,,,,,,
41,22,,7,8,,7,8,,0,0
,,,,,,,,,,
9,4,,10,9,,10,9,,0,0
,,,,,,,,,,
10,38,,11,12,,11,13,,0,-1
,,,,,,,,,,
2,6,,13,14,,12,14,,1,0
,,,,,,,,,,
23,5,,16,15,,15,16,,1,-1
,,,,,,,,,,
24,1,,17,18,,21,20,,-4,-2
,,,,,,,,,,
17,45,,19,20,,17,19,,2,1
,,,,,,,,,,
99,3,,21,22,,18,23,,3,-1
,,,,,,,,,,
34,47,,23,24,,22,27,,1,-3
,,,,,,,,,,
77,43,,25,26,,24,26,,1,0
,,,,,,,,,,
7,16,,27,28,,25,29,,2,-1
,,,,,,,,,,
51,31,,29,30,,28,30,,1,0
,,,,,,,,,,
42,15,,34,31,,34,31,,0,0
,,,,,,,,,,
78,21,,36,33,,36,32,,0,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 3,,,,,,,,,,
Lap #: 226,,,,,,,,,,
Sort Lap: 228,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
11,12,,1,2,,2,1,,-1,1
,,,,,,,,,,
14,38,,3,4,,3,7,,0,-3
,,,,,,,,,,
22,6,,5,8,,4,5,,1,3
,,,,,,,,,,
54,41,,6,9,,6,8,,0,1
,,,,,,,,,,
4,34,,7,11,,9,17,,-2,-6
,,,,,,,,,,
10,20,,10,12,,11,10,,-1,2
,,,,,,,,,,
9,99,,13,15,,14,12,,-1,3
,,,,,,,,,,
2,17,,14,16,,13,15,,1,1
,,,,,,,,,,
5,1,,17,18,,18,16,,-1,2
,,,,,,,,,,
7,43,,19,20,,21,19,,-2,1
,,,,,,,,,,
24,47,,21,24,,20,27,,1,-3
,,,,,,,,,,
45,31,,22,25,,22,29,,0,-4
,,,,,,,,,,
77,3,,23,28,,26,25,,-3,3
,,,,,,,,,,
15,16,,26,30,,28,30,,-2,0
,,,,,,,,,,
19,21,,27,32,,23,31,,4,1
,,,,,,,,,,
23,8,,29,33,,24,32,,5,1
,,,,,,,,,,
48,51,,35,31,,34,33,,1,-2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 5,,,,,,,,,,
Lap #: 285,,,,,,,,,,
Sort Lap: 287,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
12,11,,1,2,,1,2,,0,0
,,,,,,,,,,
22,2,,3,4,,4,5,,-1,-1
,,,,,,,,,,
23,5,,5,6,,3,7,,2,-1
,,,,,,,,,,
45,41,,7,8,,6,10,,1,-2
,,,,,,,,,,
10,20,,9,10,,8,9,,1,1
,,,,,,,,,,
4,14,,11,12,,11,14,,0,-2
,,,,,,,,,,
17,9,,13,14,,12,17,,1,-3
,,,,,,,,,,
38,24,,15,16,,13,16,,2,0
,,,,,,,,,,
1,3,,17,18,,15,19,,2,-1
,,,,,,,,,,
7,19,,19,20,,20,18,,-1,2
,,,,,,,,,,
43,34,,21,22,,21,22,,0,0
,,,,,,,,,,
77,47,,24,23,,24,25,,0,-2
,,,,,,,,,,
54,6,,25,26,,23,26,,2,0
,,,,,,,,,,
16,8,,27,29,,27,29,,0,0
,,,,,,,,,,
21,51,,28,30,,28,31,,0,-1
,,,,,,,,,,
31,48,,31,32,,30,33,,1,-1
,,,,,,,,,,
42,,,33,,,32,,,1,
,,,,,,,,,,
,,,,,,,,,,
Restart 6,,,,,,,,,,
Lap #: 311,,,,,,,,,,
Sort Lap: 313,,,,,,,,,,
