Restart 0
Lap #: 1
Sort Lap: 3
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
24,19,,1,2,,1,5,,0,-3
4,5,,3,4,,2,3,,1,1
23,11,,5,6,,4,6,,1,0
43,1,,7,8,,7,8,,0,0
17,45,,9,10,,12,10,,-3,0
54,41,,11,12,,9,11,,2,1
20,38,,13,14,,13,17,,0,-3
12,99,,15,16,,15,16,,0,0
22,8,,17,18,,18,14,,-1,4
34,9,,19,20,,21,19,,-2,1
3,42,,21,22,,20,22,,1,0
48,47,,23,24,,23,24,,0,0
21,14,,25,26,,26,27,,-1,-1
2,10,,27,28,,29,25,,-2,3
7,51,,29,30,,30,32,,-1,-2
77,16,,33,32,,31,28,,2,4
31,15,,35,34,,34,33,,1,1
6,78,,31,36,,35,36,,-4,0

Restart 1
Lap #: 69
Sort Lap: 71
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
24,4,,1.0,2.0,,1.0,2.0,,0.0,0.0
1,5,,3.0,4.0,,3.0,4.0,,0.0,0.0
17,23,,5.0,6.0,,8.0,5.0,,-3.0,1.0
19,12,,7.0,8.0,,9.0,5.0,,-2.0,3.0
20,11,,9.0,10.0,,7.0,10.0,,2.0,0.0
41,99,,12.0,11.0,,14.0,11.0,,-2.0,0.0
6,45,,13.0,14.0,,16.0,13.0,,-3.0,1.0
22,43,,16.0,15.0,,19.0,12.0,,-3.0,3.0
14,10,,19.0,17.0,,18.0,15.0,,1.0,2.0
34,48,,21.0,18.0,,22.0,17.0,,-1.0,1.0
42,9,,23.0,20.0,,20.0,21.0,,3.0,-1.0
3,47,,24.0,22.0,,27.0,23.0,,-3.0,-1.0
54,21,,26.0,25.0,,25.0,24.0,,1.0,1.0
77,38,,31.0,27.0,,33.0,26.0,,-2.0,1.0
,8,,,28.0,,,28.0,,,0.0
,15,,,29.0,,,29.0,,,0.0
,2,,,30.0,,,30.0,,,0.0
,31,,,32.0,,,31.0,,,1.0
,16,,,33.0,,,32.0,,,1.0
,7,,,34.0,,,34.0,,,0.0
,51,,,35.0,,,35.0,,,0.0
,78,,,36.0,,,36.0,,,0.0

Restart 2
Lap #: 117
Sort Lap: 119
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
4,1,,1.0,2.0,,2.0,1.0,,-1.0,1.0
24,17,,3.0,4.0,,3.0,4.0,,0.0,0.0
19,5,,6.0,5.0,,5.0,6.0,,1.0,-1.0
43,12,,8.0,7.0,,8.0,7.0,,0.0,0.0
99,23,,10.0,9.0,,10.0,9.0,,0.0,0.0
14,11,,12.0,11.0,,25.0,11.0,,-13.0,0.0
6,10,,13.0,14.0,,12.0,17.0,,1.0,-3.0
22,41,,16.0,15.0,,15.0,26.0,,1.0,-11.0
42,48,,18.0,17.0,,13.0,19.0,,5.0,-2.0
8,45,,20.0,19.0,,14.0,16.0,,6.0,3.0
54,9,,21.0,22.0,,20.0,23.0,,1.0,-1.0
3,21,,24.0,23.0,,21.0,27.0,,3.0,-4.0
34,47,,25.0,26.0,,18.0,22.0,,7.0,4.0
38,15,,28.0,27.0,,24.0,28.0,,4.0,-1.0
77,2,,30.0,29.0,,30.0,29.0,,0.0,0.0
31,16,,31.0,32.0,,32.0,31.0,,-1.0,1.0
,7,,,33.0,,,33.0,,,0.0
,51,,,34.0,,,34.0,,,0.0
,78,,,35.0,,,35.0,,,0.0

Restart 3
Lap #: 194
Sort Lap: 196
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
1,5,,1.0,4.0,,1.0,5.0,,0.0,-1.0
24,4,,2.0,6.0,,2.0,6.0,,0.0,0.0
19,17,,3.0,8.0,,3.0,9.0,,0.0,-1.0
12,23,,5.0,9.0,,4.0,7.0,,1.0,2.0
6,11,,7.0,11.0,,8.0,10.0,,-1.0,1.0
43,22,,10.0,13.0,,11.0,12.0,,-1.0,1.0
42,48,,12.0,14.0,,14.0,15.0,,-2.0,-1.0
10,54,,15.0,18.0,,13.0,17.0,,2.0,1.0
34,99,,16.0,19.0,,15.0,24.0,,1.0,-5.0
3,9,,17.0,21.0,,21.0,20.0,,-4.0,1.0
14,47,,20.0,25.0,,19.0,25.0,,1.0,0.0
41,38,,22.0,28.0,,18.0,27.0,,4.0,1.0
8,15,,24.0,27.0,,23.0,28.0,,1.0,-1.0
45,77,,23.0,29.0,,22.0,29.0,,1.0,0.0
21,31,,26.0,30.0,,26.0,30.0,,0.0,0.0
,7,,,32.0,,,32.0,,,0.0
,16,,,31.0,,,31.0,,,0.0
,78,,,33.0,,,33.0,,,0.0
